text,happy,depressed,surprised,angry,neutral
근데 길에 사람이 있는거야.,0,0,0,0,1
진짜 근데 뭐지 봐도 또 재밌어.,0,0,0,0,1
응 어제 이제 되게 내가 너무 멀어서 혹시 바로 앞에 있는 물을 좀 주실 수 있나요 뭐 이렇게 하는 건 되는데 되게 저기 멀리 있는데 내 나 내가 갈수도 있는데 혹시 저기 물 좀 갖다 주실 수 있나요 이거는 나는 말이 안 된다고 생각해.,0,0,0,0,1
 근데 이 사람이라는 게 같이 지내는 시간이 많으면 많을 수록 정이 붙는다고 하잖아.,0,0,0,0,1
그럴  하긴 그런 거라면 상관이 없나? l/,1,0,0,0,0
그니까 아 군대리아 그거 먹어봤어 그거?,1,0,0,0,0
근데 이게 진짜 꽤 오랜 기간 동안 거의 일을 남자만 하는 그런 시기였는데 솔직히 점점점점 이렇게 진출해 나가는 느낌이어서 조금씩 나아지는 느낌이거든?,0,0,0,0,1
그때 이제 전화를 했는데 계속 연락 안 받는 건 예의가 아니지.,0,0,0,0,1
중학교인가 그랬었던 거 같애.,0,0,0,0,1
살짝 그냥 뭘 그. ,0,0,0,0,1
"맞아 맞아 누가 뭐 근데 이제 솔직히 들어 볼 정도면 심한 거죠, 왜냐면은 그렇게 말 안 하잖아요 이 꼰대 꼰대.",1,0,0,0,0
어 l/ 재밌잖어.,1,0,0,0,0
멸치볶음이랑 뭐 여러 가지 내가 좀 좋아하는 것들 있잖아.,0,0,0,0,1
"응, 불편하지.",0,0,0,0,1
그래서 항상 친구들이랑 가면 친구들이 알아서 여기가 저기가 하니까 그래서 어 당황하면서 지도 보면서 여기가 아닌가 하면서 근데 똑같은 데를 계속 맴도니까 어떤 언니가 이쁜 언니가 대학생인 것 같애.,0,0,0,0,1
" 어 그거 그니까 나는 그게 개개인의 능력이지, 남자 여자 이렇게 따져서 해야 되는 그런 건가?",0,0,0,0,1
근데 컴퓨터는 계산을 하고 처리하는 얜데 감정은 계산되는 게 아니잖아.,0,0,0,0,1
이제 옛날에 차다 보니까 갤로퍼라고 알지?,0,0,0,0,1
"몰라, 난 아는 게 아무것도 없어. l/",1,0,0,0,0
그래 그런 거 하고 우리도 막 그러잖아.,0,0,0,0,1
