text,happy,depressed,surprised,angry,neutral
Sess08_script05_User016F_007,0.0,0.1,0.0,0.0,0.9
Sess02_script05_User004M_003,0.0,0.0,0.0,0.0,1.0
Sess24_script01_User047F_022,0.0,0.0,0.3,0.0,0.7
Sess23_script04_User045F_015,0.0,0.0,0.0,0.0,1.0
Sess30_script04_User059F_006,0.0,0.0,0.2,0.4,0.4
Sess05_script04_User010M_009,0.1,0.0,0.0,0.0,0.9
Sess08_script04_User016F_030,0.0,0.1,0.0,0.1,0.8
Sess09_script04_User018M_020,0.0,0.2,0.0,0.0,0.8
Sess30_script06_User059F_019,0.0,0.0,0.0,0.2,0.8
Sess07_script03_User014M_035,0.0,0.0,0.2,0.0,0.8
Sess13_script01_User026F_036,0.5,0.0,0.0,0.0,0.5
Sess24_script06_User047F_015,0.0,0.0,0.0,0.0,1.0
Sess03_script03_User005M_042,0.5,0.0,0.2,0.0,0.3
Sess13_script05_User026F_031,0.0,0.1,0.0,0.0,0.9
Sess15_script01_User029M_028,0.0,0.0,0.2,0.0,0.8
Sess22_script06_User043F_005,0.0,0.0,0.0,0.5,0.5
Sess35_script02_User069F_019,0.0,0.0,0.1,0.7,0.2
Sess22_script05_User043F_010,0.3,0.0,0.0,0.0,0.7
Sess06_script03_User012M_012,0.0,0.2,0.0,0.0,0.8
Sess09_script03_User018M_017,0.0,0.0,0.0,0.1,0.9
Sess16_script04_User032M_002,0.0,0.0,0.4,0.0,0.6
Sess36_script03_User072F_013,0.0,0.2,0.0,0.0,0.8
Sess14_script04_User028M_015,0.0,0.0,0.0,0.0,1.0
Sess26_script06_User051M_014,0.0,0.0,0.0,0.0,1.0
Sess08_script02_User015F_012,0.0,0.0,0.0,0.1,0.9
Sess15_script04_User029M_036,0.4,0.0,0.0,0.0,0.6
Sess16_script03_User031M_007,0.2,0.0,0.0,0.0,0.8
Sess18_script04_User036M_003,0.0,0.0,0.0,0.1,0.9
Sess27_script05_User053M_020,0.7,0.0,0.0,0.0,0.3
Sess17_script01_User083F_020,0.5,0.0,0.0,0.0,0.5
Sess08_script03_User015F_028,0.3,0.0,0.0,0.0,0.7
Sess08_script06_User016F_023,0.0,0.0,0.8,0.0,0.2
Sess34_script03_User067M_027,0.2,0.0,0.0,0.0,0.8
Sess17_script06_User084F_034,0.0,0.0,0.0,0.0,1.0
Sess13_script04_User026F_002,0.8,0.0,0.0,0.0,0.2
Sess03_script03_User005M_004,0.2,0.0,0.3,0.0,0.5
Sess05_script05_User009M_022,0.0,0.5,0.0,0.0,0.5
Sess21_script01_User041F_019,0.6,0.0,0.0,0.0,0.4
Sess04_script04_User007M_026,0.0,0.0,0.0,0.0,1.0
Sess30_script04_User059F_009,0.0,0.0,0.0,0.6,0.4
Sess27_script04_User054M_011,0.0,0.0,0.0,0.0,1.0
Sess03_script05_User006M_014,0.0,0.0,0.0,0.0,1.0
Sess04_script06_User007M_005,0.0,0.0,0.0,0.1,0.9
Sess22_script02_User044F_001,0.7,0.0,0.0,0.0,0.3
Sess23_script01_User045F_011,0.3,0.0,0.2,0.0,0.5
Sess06_script02_User012M_027,0.0,0.1,0.0,0.0,0.9
Sess19_script03_User037M_023,0.7,0.0,0.0,0.0,0.3
Sess28_script05_User055M_024,0.0,0.0,0.0,0.0,1.0
Sess30_script02_User059F_002,0.0,0.4,0.1,0.0,0.5
Sess32_script01_User063M_014,0.0,0.0,0.0,0.0,1.0
Sess26_script04_User052F_020,0.0,0.0,0.0,0.0,1.0
Sess04_script03_User008F_027,0.8,0.0,0.0,0.0,0.2
Sess32_script01_User063M_021,0.7,0.0,0.1,0.0,0.2
Sess08_script02_User016F_025,0.0,0.0,0.0,0.4,0.6
Sess30_script04_User059F_005,0.0,0.0,0.0,0.4,0.6
Sess38_script04_User075M_001,0.0,0.1,0.0,0.0,0.9
Sess10_script05_User020M_015,0.1,0.3,0.0,0.0,0.6
Sess06_script03_User011M_014,0.1,0.0,0.2,0.0,0.7
Sess22_script02_User044F_018,0.0,0.0,0.0,0.5,0.5
Sess40_script05_User079F_018,0.0,0.1,0.0,0.0,0.9
Sess29_script01_User058F_028,0.2,0.0,0.2,0.0,0.6
Sess13_script06_User026F_020,0.0,0.6,0.1,0.0,0.3
Sess10_script02_User019F_020,0.0,0.0,0.0,0.1,0.9
Sess40_script02_User079F_012,0.2,0.0,0.2,0.0,0.6
Sess22_script05_User044F_024,0.2,0.0,0.2,0.0,0.6
Sess12_script01_User082F_020,0.7,0.0,0.0,0.0,0.3
Sess13_script03_User026F_024,0.4,0.0,0.0,0.0,0.6
Sess10_script03_User019F_004,0.9,0.0,0.0,0.0,0.1
Sess10_script06_User019F_007,0.0,0.0,0.0,0.1,0.9
Sess38_script01_User076F_021,0.2,0.0,0.0,0.0,0.8
Sess16_script01_User031M_029,0.1,0.0,0.0,0.0,0.9
Sess39_script01_User078F_029,0.0,0.0,0.3,0.0,0.7
Sess08_script03_User016F_007,0.1,0.1,0.0,0.0,0.8
Sess39_script01_User077F_013,0.5,0.0,0.2,0.0,0.3
Sess11_script06_User022M_006,0.1,0.0,0.1,0.0,0.8
Sess32_script04_User064F_017,0.2,0.0,0.0,0.0,0.8
Sess15_script05_User029M_032,0.0,0.4,0.0,0.0,0.6
Sess19_script06_User037M_003,0.0,0.0,0.1,0.0,0.9
Sess37_script05_User074F_001,0.5,0.0,0.0,0.0,0.5
Sess19_script02_User037M_010,0.0,0.0,0.0,0.4,0.6
Sess22_script06_User044F_004,0.0,0.0,0.2,0.0,0.8
Sess17_script02_User083F_014,0.0,0.0,0.1,0.3,0.6
Sess13_script02_User026F_020,0.1,0.0,0.0,0.0,0.9
Sess38_script01_User076F_019,0.1,0.0,0.0,0.0,0.9
Sess02_script03_User003F_028,0.0,0.0,0.1,0.0,0.9
Sess38_script02_User075M_018,0.0,0.0,0.0,0.4,0.6
Sess35_script06_User070F_024,0.0,0.1,0.0,0.2,0.7
Sess21_script03_User042F_018,0.0,0.0,0.0,0.1,0.9
Sess21_script01_User041F_001,0.1,0.0,0.0,0.0,0.9
Sess25_script06_User050F_017,0.0,0.0,0.0,0.2,0.8
Sess06_script06_User012M_032,0.0,0.0,0.0,0.0,1.0
Sess36_script05_User072F_011,0.2,0.0,0.0,0.0,0.8
Sess15_script05_User029M_018,0.0,0.0,0.0,0.0,1.0
Sess32_script05_User064F_013,0.0,0.1,0.0,0.0,0.9
Sess15_script02_User030M_006,0.0,0.0,0.0,0.6,0.4
Sess12_script06_User081F_014,0.0,0.1,0.1,0.0,0.8
Sess07_script05_User013M_018,0.0,0.0,0.0,0.0,1.0
Sess39_script05_User077F_003,0.0,0.1,0.0,0.0,0.9
Sess13_script05_User026F_033,0.2,0.0,0.0,0.0,0.8
Sess04_script05_User008F_013,0.0,0.0,0.0,0.0,1.0
Sess33_script06_User065M_012,0.1,0.0,0.0,0.0,0.9
Sess25_script01_User050F_022,0.2,0.0,0.0,0.0,0.8
Sess08_script03_User015F_001,0.7,0.0,0.0,0.0,0.3
Sess09_script03_User017M_023,0.0,0.0,0.0,0.0,1.0
Sess22_script06_User044F_011,0.0,0.0,0.0,0.5,0.5
Sess31_script03_User061M_017,0.0,0.2,0.0,0.0,0.8
Sess14_script06_User027F_001,0.6,0.0,0.0,0.0,0.4
Sess21_script03_User042F_022,0.8,0.0,0.0,0.0,0.2
Sess31_script04_User061M_028,0.0,0.0,0.1,0.1,0.8
Sess26_script01_User051M_023,0.0,0.0,0.0,0.0,1.0
Sess32_script03_User064F_014,0.0,0.0,0.2,0.0,0.8
Sess21_script06_User041F_022,0.0,0.0,0.1,0.3,0.6
Sess35_script02_User069F_018,0.2,0.1,0.0,0.1,0.6
Sess16_script04_User031M_003,0.0,0.3,0.0,0.0,0.7
Sess16_script04_User031M_005,0.0,0.3,0.0,0.0,0.7
Sess15_script06_User029M_019,0.0,0.0,0.0,0.0,1.0
Sess40_script03_User079F_001,0.3,0.0,0.0,0.0,0.7
Sess23_script04_User045F_005,0.0,0.0,0.0,0.4,0.6
Sess02_script03_User003F_024,0.0,0.0,0.0,0.0,1.0
Sess26_script06_User052F_020,0.0,0.0,0.0,0.6,0.4
Sess08_script06_User015F_005,0.0,0.1,0.0,0.0,0.9
Sess09_script01_User017M_013,0.4,0.0,0.0,0.0,0.6
Sess06_script02_User012M_022,0.0,0.0,0.1,0.4,0.5
Sess40_script03_User079F_014,0.0,0.0,0.3,0.1,0.6
Sess10_script01_User019F_034,0.8,0.0,0.0,0.0,0.2
Sess09_script05_User018M_017,0.0,0.1,0.0,0.0,0.9
Sess15_script01_User029M_024,0.0,0.0,0.0,0.0,1.0
Sess38_script04_User076F_005,0.5,0.0,0.0,0.0,0.5
Sess31_script06_User062M_033,0.5,0.0,0.0,0.0,0.5
Sess40_script01_User079F_019,0.0,0.0,0.0,0.0,1.0
Sess13_script05_User025F_017,1.0,0.0,0.0,0.0,0.0
Sess19_script06_User037M_012,0.0,0.2,0.0,0.0,0.8
Sess08_script03_User015F_007,0.0,0.0,0.1,0.0,0.9
Sess01_script05_User002M_024,0.5,0.0,0.0,0.0,0.5
Sess36_script02_User071M_017,0.0,0.1,0.0,0.0,0.9
Sess16_script01_User031M_011,0.0,0.0,0.0,0.0,1.0
Sess18_script01_User035M_018,0.2,0.0,0.0,0.0,0.8
Sess18_script05_User035M_006,0.1,0.3,0.0,0.0,0.6
Sess39_script01_User078F_033,0.0,0.0,0.1,0.0,0.9
Sess16_script01_User032M_003,0.0,0.0,0.0,0.1,0.9
Sess39_script03_User077F_008,0.0,0.0,0.0,0.0,1.0
Sess02_script05_User003F_019,0.0,0.2,0.0,0.1,0.7
Sess40_script06_User080F_007,0.0,0.1,0.0,0.0,0.9
Sess05_script03_User010M_010,0.0,0.0,0.0,0.0,1.0
Sess38_script01_User076F_005,0.6,0.0,0.0,0.0,0.4
Sess34_script01_User067M_004,0.2,0.0,0.0,0.0,0.8
Sess24_script04_User048F_004,0.0,0.1,0.2,0.0,0.7
Sess25_script05_User049M_008,0.1,0.0,0.0,0.1,0.8
Sess37_script02_User074F_006,0.2,0.0,0.1,0.4,0.3
Sess14_script01_User028M_018,0.7,0.0,0.0,0.0,0.3
Sess34_script02_User068M_008,0.0,0.1,0.0,0.0,0.9
Sess16_script01_User031M_021,0.3,0.0,0.1,0.0,0.6
Sess30_script05_User059F_005,0.5,0.0,0.1,0.0,0.4
Sess12_script04_User082F_019,0.0,0.0,0.0,0.1,0.9
Sess07_script01_User014M_027,0.0,0.0,0.4,0.0,0.6
Sess15_script01_User030M_019,0.0,0.0,0.2,0.2,0.6
Sess23_script05_User046M_029,0.0,0.0,0.0,0.0,1.0
Sess12_script04_User082F_020,0.0,0.0,0.0,0.0,1.0
Sess33_script05_User065M_003,0.0,0.0,0.0,0.0,1.0
Sess31_script06_User062M_008,0.2,0.0,0.0,0.0,0.8
Sess21_script01_User041F_016,0.6,0.0,0.1,0.0,0.3
Sess16_script02_User032M_034,0.2,0.0,0.0,0.0,0.8
Sess32_script03_User063M_026,0.0,0.0,0.1,0.0,0.9
Sess22_script06_User044F_021,0.0,0.0,0.3,0.3,0.4
Sess14_script01_User028M_033,0.2,0.0,0.0,0.0,0.8
Sess39_script04_User077F_015,0.0,0.1,0.0,0.0,0.9
Sess33_script01_User066M_035,0.0,0.0,0.0,0.0,1.0
Sess31_script04_User061M_019,0.1,0.0,0.0,0.2,0.7
Sess03_script06_User006M_019,0.0,0.0,0.0,0.0,1.0
Sess06_script04_User012M_001,0.0,0.0,0.0,0.0,1.0
Sess25_script06_User049M_017,0.0,0.0,0.0,0.1,0.9
Sess24_script01_User048F_028,0.1,0.0,0.4,0.0,0.5
Sess15_script04_User029M_018,0.0,0.0,0.0,0.0,1.0
Sess07_script04_User014M_024,0.1,0.2,0.0,0.0,0.7
Sess02_script04_User003F_016,0.0,0.0,0.0,0.0,1.0
Sess25_script05_User050F_054,0.0,0.0,0.1,0.0,0.9
Sess18_script01_User036M_005,0.1,0.0,0.0,0.0,0.9
Sess09_script05_User017M_024,0.0,0.2,0.0,0.1,0.7
Sess23_script05_User046M_031,0.1,0.0,0.0,0.0,0.9
Sess31_script03_User062M_007,0.5,0.0,0.0,0.0,0.5
Sess22_script03_User043F_002,0.2,0.0,0.0,0.0,0.8
Sess30_script02_User060F_016,0.0,0.0,0.5,0.0,0.5
Sess39_script04_User077F_004,0.0,0.0,0.0,0.0,1.0
Sess11_script03_User022M_008,0.0,0.0,0.2,0.0,0.8
Sess39_script02_User077F_035,0.0,0.1,0.0,0.0,0.9
Sess39_script06_User078F_012,0.0,0.0,0.0,0.0,1.0
Sess39_script03_User078F_017,0.0,0.0,0.1,0.2,0.7
Sess01_script02_User002M_012,0.0,0.0,0.0,0.1,0.9
Sess35_script06_User070F_013,0.0,0.2,0.0,0.0,0.8
Sess38_script05_User075M_001,0.0,0.0,0.0,0.2,0.8
Sess01_script06_User001F_017,0.2,0.0,0.0,0.0,0.8
Sess02_script05_User004M_021,0.0,0.0,0.0,0.0,1.0
Sess16_script04_User032M_019,0.0,0.0,0.0,0.0,1.0
Sess25_script06_User050F_004,0.0,0.2,0.0,0.0,0.8
Sess39_script01_User077F_045,0.0,0.0,0.0,0.0,1.0
Sess35_script06_User070F_004,0.0,0.2,0.0,0.0,0.8
Sess26_script02_User051M_022,0.0,0.0,0.0,0.0,1.0
Sess06_script05_User012M_006,0.0,0.3,0.0,0.0,0.7
Sess39_script01_User078F_032,0.2,0.0,0.0,0.0,0.8
Sess21_script04_User042F_022,0.0,0.2,0.0,0.0,0.8
Sess15_script03_User029M_007,0.0,0.0,0.0,0.0,1.0
Sess14_script05_User027F_007,0.0,0.6,0.0,0.0,0.4
Sess31_script04_User061M_016,0.1,0.1,0.0,0.0,0.8
Sess02_script05_User003F_016,0.0,0.0,0.0,0.0,1.0
Sess03_script06_User005M_018,0.0,0.0,0.0,0.1,0.9
Sess33_script05_User066M_005,0.0,0.0,0.0,0.0,1.0
Sess03_script03_User006M_014,0.1,0.0,0.0,0.0,0.9
Sess11_script01_User021M_003,0.0,0.0,0.0,0.0,1.0
Sess14_script03_User027F_015,0.2,0.0,0.1,0.0,0.7
Sess12_script02_User082F_020,0.1,0.0,0.0,0.0,0.9
Sess32_script03_User064F_004,0.4,0.0,0.2,0.0,0.4
Sess37_script03_User073F_015,0.0,0.1,0.0,0.0,0.9
Sess01_script01_User001F_011,0.0,0.0,0.0,0.0,1.0
Sess04_script03_User007M_010,0.1,0.0,0.0,0.0,0.9
Sess33_script05_User065M_013,0.1,0.0,0.0,0.0,0.9
Sess33_script01_User065M_010,0.2,0.0,0.0,0.0,0.8
Sess35_script01_User070F_017,0.0,0.0,0.0,0.0,1.0
Sess13_script04_User025F_020,0.0,0.0,0.0,0.1,0.9
Sess10_script03_User020M_009,1.0,0.0,0.0,0.0,0.0
